clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
7,13060,0,0,1,0,0,0,0,1,0,0,0,0,0.5435309492653214,-0.010462500990087926,-0.6494432018204558,0.6728041822760868,0.7483884104378324,0.7038355255874146
2,9515,0,0,0,0,1,0,0,0,1,0,0,0,1.5043552657973518,0.33618817677751306,0.23517157475785783,1.3263406227747805,1.397923601722512,1.4137412384237393
6,945,0,0,1,0,0,0,0,0,1,0,0,0,-0.9297330027504587,0.26685804122399187,-0.6494432018204558,-1.0102759658575367,-1.0378333655950343,-0.9912454622054409
7,918,0,0,1,0,0,0,0,0,1,0,0,0,-1.0151396086644169,-0.21845290765065148,-1.0917505901096125,-1.1714219374873514,-1.1641318750114993,-1.1795877941824247
3,486,0,0,1,0,0,0,0,0,0,1,0,0,-1.057842911621396,0.5441785834380717,-1.8879038890300934,-1.2878051392199954,-1.2543450960232607,-1.2230514092540368
4,5242,0,0,1,0,0,0,1,0,0,0,0,0,0.22325617708797793,-0.28778304320417264,-0.20713581353129898,0.4579428867696667,0.42362081479549346,0.3995902200861334
1,4973,0,0,0,1,0,0,0,0,0,1,0,0,0.671640858136259,0.12819777011694952,0.6774789630470146,0.7802348300292961,0.7483884104378324,0.7762748840401018
3,13986,0,0,1,0,0,0,1,0,0,0,0,0,1.5257069172758413,-1.3277350765069755,0.6774789630470146,1.6307274580755418,1.5693287216448573,1.3847654950426653
3,1128,0,1,0,0,0,0,0,0,0,1,0,0,-0.6094582305731152,0.05886763456342833,3.3313232927819554,-0.5895059288241304,-0.6408951931432865,-0.6000729265609356
5,7885,0,0,0,0,1,0,0,0,1,0,0,0,0.4581243433513631,1.0988196678662312,-0.20713581353129898,0.5206107646257053,0.5679619684143111,0.6893476538968777
4,2013,0,0,0,1,0,0,0,0,1,0,0,0,-0.5026999731806673,-1.2584049409534543,1.1197863513361714,-0.28511909352336895,-0.32514891960212267,-0.4407063379650262
2,3357,0,1,0,0,0,1,0,0,0,0,0,0,0.2446078285664675,1.5841306167408746,0.6774789630470146,0.3594647929958906,0.26123701697432317,0.5154931936104313
3,1581,0,0,0,1,0,0,1,0,0,0,0,0,-0.6308098820516047,-0.8424241276323322,1.1197863513361714,-0.5716008208652624,-0.5416606500303491,-0.6435365416325476
3,12744,0,0,1,0,0,0,0,1,0,0,0,0,1.2694870995339664,-0.1491227720971303,-1.0917505901096125,1.3084355148159124,1.3528169912166317,1.3123261365899794
1,2167,1,0,0,0,0,1,0,0,0,0,0,0,0.09514626821704042,1.9307812945084757,1.1197863513361714,0.1714611594277732,0.09885321915315368,0.3706144767050589
6,7945,0,0,0,0,1,0,0,0,1,0,0,0,0.43677269187287354,-0.7037638565252898,0.23517157475785783,0.654899074317218,0.7213244441343047,0.5879325520631172
4,11527,0,0,1,0,0,0,0,0,1,0,0,0,1.2481354480554767,0.33618817677751306,-1.5340579783987693,1.2994829608364777,1.2716250923060461,1.3268140082805164
3,956,0,0,0,1,0,0,1,0,0,0,0,0,-0.9724363057074378,-2.0210364320421776,0.6774789630470146,-1.0192285198369706,-1.055876009797387,-1.2230514092540368
3,1294,0,0,0,1,0,0,0,1,0,0,0,0,-0.6735131850085839,-1.119744669846412,0.6774789630470146,-0.5447431589269598,-0.5687246163338777,-0.6725122850136221
1,1777,0,0,0,1,0,1,0,0,0,0,0,0,-0.37459006430972996,0.19752790567047068,0.6774789630470146,-0.22245121566732956,-0.2529783427927138,-0.20890039091643026
4,1008,0,0,1,0,0,0,0,0,1,0,0,0,-0.7802714424010317,0.12819777011694952,-1.0917505901096125,-0.7775095623922479,-0.803278990964456,-0.7739273868473825
